ID,Unit_ID,Spr_ID,Wording,Fulltext
au_pr_el_13_060078.txt,Spr01,11019,BZOe-Buendnisobmann Klubobmann Josef Bucher,"Ein ehrgeiziges Programm mit revolutionaeren Ideen, die Mut zur Veraenderung vermitteln sollen<ORD:65440>praesentierte heute BZOe-Buendnisobmann Klubobmann Josef Bucher im Rahmen einer Pressekonferenz. Als Partei der modernen Mitte liegt unser Fokus dabei klar auf den zentralen Zukunftsthemen Wirtschaft, Bildung, Jugend und Familie, so der BZOe-Chef.<ORD:65440>Es geht uns nicht darum, die Vielzahl an Ideen, die wir in den letzten <ORD:65440>Jahren entwickelt und gefordert haben, in ein neue Form zu giessen und ein Copy-und-Paste-Wahlprogramm mit mehreren hundert Seiten Umfang zu praesentieren. Unser Land braucht jetzt einen wirklichen Anschub in Richtung Zukunft mit klaren Zukunftsansagen, bekraeftigte Bucher.<ORD:65440>"
au_pr_el_13_041109.txt,Journ,11804,,
au_pr_el_13_041109.txt,Spr01,11704,Gruene Energie- und / Umweltsprecherin Christiane Brunner,"die Energiewende nachmachen wollen"", sagt die Gruene Energie- und / Umweltsprecherin Christiane Brunner."
au_pr_el_13_050247.txt,Journ,11803,,
au_pr_el_13_050247.txt,Spr01,11702,"Vorarlberger FPOe-Spitzenkandidat / zur Nationalratswahl, NAbg. Bernhard Themessl,","mehr als durchsichtig"", reagiert der Vorarlberger FPOe-Spitzenkandidat / zur Nationalratswahl, NAbg. Bernhard Themessl, auf die im Zuge des"
au_pr_el_13_100023.txt,Journ,11810,,
au_pr_el_13_100023.txt,Spr01,11020, NEOS Spitzenkandidat Matthias Strolz,"Erleichterungen bringen"", so NEOS Spitzenkandidat Matthias Strolz.Die Aussendung der OeHV zur Wahlumfrage finden Sie unter:"
au_pr_el_13_010002.txt,Journ,11801,,
au_pr_el_13_010002.txt,Spr01,11001,Bundeskanzler Faymann,"ihrer Arbeit auch leben koennen"", sagte Bundeskanzler Faymann. Es"
au_pr_el_13_010002.txt,Spr02,11027,RudolfHundstorfer Arbeitsminister,"Unter Schwarz-Blau gab es kein Arbeitsministerium, aber RudolfHundstorfer Arbeitsminister betonte, wie wichtig es ist, sich fuer die"
au_pr_el_13_041085.txt,Journ,11804,,
au_pr_el_13_041085.txt,Spr01,11704,"Birgit Schatz, ArbeitnehmerInnensprecherin der / Gruenen","Unterstuetzung"", sagt Birgit Schatz, ArbeitnehmerInnensprecherin der / Gruenen, anlaesslich der Veroeffentlichung der Augustarbeitslosendaten."
au_pr_el_13_110135.txt,Journ,11811,,
au_pr_el_13_110135.txt,Spr01,11711,"Bundesgeschaeftsfuehrer Dr. Ronald Bauer, Team Stronach","Wien (OTS) - Bundesgeschaeftsfuehrer Dr. Ronald Bauer, Team Stronach,"
au_pr_el_13_111069.txt,Journ,11811,,
au_pr_el_13_111069.txt,Spr01,11711,"Team Stronach Wien / Spitzenkandidatin fuer die Nationalratswahl, Jessi Lintl","durchschaubares wahltaktisches Manoever"", so die Team Stronach Wien / Spitzenkandidatin fuer die Nationalratswahl, Jessi Lintl, zu den"
au_pr_el_13_020241.txt,Journ,11802,,
au_pr_el_13_020241.txt,Spr01,11703,"Axel Melchior,  / Generalsekretaer der Jungen OeVP","Soldatinnen und Soldaten"", zeigt sich Axel Melchior,  / Generalsekretaer der Jungen OeVP, ueberzeugt."
au_pr_el_13_010393.txt,Journ,11801,,
